KRONOS AUDIT TRAIL - CONTAINER KRNU 847102 3 - VLP-RTM
[2026-08-10T08:15:00-04:00] TPS_VALPARAISO - Gate In - Sealed - Set -18.0C
[2026-08-15T09:20:00Z] CANAL_PANAMA - External 31.0C CRITICAL - Reefer +12% - Internal -18.0C STABLE
[2026-08-24T16:30:00+02:00] ECT_ROTTERDAM - Gate Out - Temp -18.1C - CONFIRMED - Duty Cleared
END TRACE - SIGNATURE: TPS_VLP_20260810_KRNU847102
2026-08-28T10:00:00Z | CONTAINER KRNU8471023 | EVENT: SEALED | TEMP: -18.0°C | GPS: -33.0360, -71.6296 | VALPARAISO
2026-08-28T10:15:00Z | CONTAINER KRNU8471023 | EVENT: LOADED ON VESSEL | TEMP: -18.1°C | GPS: -33.0360, -71.6296 | VESSEL: MAERSK ANTARES
2026-08-28T18:00:00Z | CONTAINER KRNU8471023 | EVENT: DEPARTED | TEMP: -18.1°C | GPS: -33.0360, -71.6296 | ETA ROTTERDAM: 2026-09-19
2026-08-29T06:00:00Z | CONTAINER KRNU8471023 | EVENT: TRANSIT - PACIFIC | TEMP: -18.0°C | GPS: -30.5000, -75.0000 | STATUS: NORMAL
2026-08-30T12:00:00Z | CONTAINER KRNU8471023 | EVENT: TRANSIT - PACIFIC | TEMP: -18.1°C | GPS: -28.0000, -78.0000 | STATUS: NORMAL
2026-09-01T08:00:00Z | CONTAINER KRNU8471023 | EVENT: APPROACHING PANAMA | TEMP: -18.1°C | GPS: -25.0000, -80.0000 | STATUS: CONGESTION WARNING - IA PREDICTIVE ALERT (DESVÍO SUGERIDO)
2026-09-02T04:00:00Z | CONTAINER KRNU8471023 | EVENT: DIVERTED VIA CAPE HORN | TEMP: -18.2°C | GPS: -30.0000, -82.0000 | DECISION: IA ROUTING OPTIMIZATION
2026-09-05T14:00:00Z | CONTAINER KRNU8471023 | EVENT: TRANSIT - ATLANTIC | TEMP: -18.1°C | GPS: -35.0000, -60.0000 | STATUS: NORMAL
2026-09-10T22:00:00Z | CONTAINER KRNU8471023 | EVENT: TRANSIT - ATLANTIC | TEMP: -18.0°C | GPS: -20.0000, -40.0000 | STATUS: NORMAL
2026-09-15T06:00:00Z | CONTAINER KRNU8471023 | EVENT: APPROACHING ROTTERDAM | TEMP: -18.1°C | GPS: 51.9244, 4.4777 | STATUS: NORMAL
2026-09-16T08:00:00Z | CONTAINER KRNU8471023 | EVENT: DOCUMENTARY HANDOVER | TEMP: -18.1°C | GPS: 51.9244, 4.4777 | CERTIFICATE: KRONOS GENERATED
2026-09-16T10:00:00Z | CONTAINER KRNU8471023 | EVENT: CLEARED BY CUSTOMS | TEMP: -18.1°C | GPS: 51.9244, 4.4777 | DOCUMENT ERRORS: 0
